,Artist,Song_Count,First_Year,Last_Year,Career_Span
1362,manfred mann,1,1968,1968,1
1363,manfred manns earth band,1,1977,1977,1
1364,marc anthony,3,1999,2000,2
1365,marcy playground,1,1998,1998,1
1366,maria muldaur,1,1974,1974,1
1367,mariah carey,25,1990,2009,20
1368,mariah carey and boyz ii men,1,1996,1996,1
1369,mariah carey featuring cameo,1,2001,2001,1
1370,mariah carey featuring jayz,1,1999,1999,1
1371,mariah carey featuring joe and 98 degrees,1,2000,2000,1
1372,mariah carey featuring miguel,1,2013,2013,1
1373,marilyn mccoo  billy davis jr,1,1977,1977,1
1374,mario,2,2002,2005,4
1375,mario featuring gucci mane and sean garrett,1,2009,2009,1
1376,mario winans featuring enya and p diddy,1,2004,2004,1
1377,mark chesnutt,1,1999,1999,1
1378,mark lindsay,1,1970,1970,1
1379,mark morrison,1,1997,1997,1
1380,mark ronson featuring bruno mars,1,2015,2015,1
1381,mark wills,1,2003,2003,1
1382,marky mark and the funky bunch,1,1992,1992,1
1383,marky mark and the funky bunch featuring loleatta holloway,1,1991,1991,1
1384,marmalade,1,1970,1970,1
1385,maroon 5,13,2004,2015,12
1386,maroon 5 featuring christina aguilera,2,2011,2012,2
1387,maroon 5 featuring wiz khalifa,1,2012,2012,1
1388,martha and the vandellas,2,1965,1967,3
1389,martika,1,1989,1989,1
1390,martin garrix,1,2014,2014,1
1391,martin page,1,1995,1995,1
1392,marty balin,1,1981,1981,1
1393,marvin gaye,10,1965,1983,19
1394,marvin gaye  tammi terrell,4,1967,1968,2
1395,marvin hamlisch,1,1974,1974,1
1396,mary hopkin,1,1968,1968,1
1397,mary j blige,8,1992,2008,17
1398,mary j blige featuring ja rule,1,2002,2002,1
1399,mary jane girls,1,1985,1985,1
1400,mary macgregor,1,1977,1977,1
1401,mary mary,1,2000,2000,1
1402,mase featuring kelly price,1,1998,1998,1
1403,mase featuring puff daddy,1,1998,1998,1
1404,mase featuring total,1,1998,1998,1
1405,mason williams,1,1968,1968,1
1406,master p featuring fiend silkk the shocker mia x and mystikal,1,1998,1998,1
1407,master p featuring sons of funk,1,1998,1998,1
1408,matchbox 20,1,1999,1999,1
1409,matchbox twenty,3,2000,2003,4
1410,matthew wilder,1,1984,1984,1
1411,matthews southern comfort,1,1971,1971,1
1412,maureen mcgovern,1,1973,1973,1
1413,maxi priest,1,1990,1990,1
1414,maxi priest featuring shaggy,1,1996,1996,1
1415,maxine nightingale,2,1976,1979,4
1416,maxwell,2,1999,2009,11
1417,mc hammer,2,1990,1990,1
1418,mc lyte,1,1997,1997,1
1419,mc lyte featuring xscape,1,1996,1996,1
1420,mcfadden  whitehead,1,1979,1979,1
1421,meat loaf,4,1978,1994,17
1422,meco,1,1977,1977,1
1423,meek mill featuring chris brown and nicki minaj,1,2015,2015,1
1424,meghan trainor,4,2014,2015,2
1425,meghan trainor featuring john legend,1,2015,2015,1
1426,mel and tim,1,1972,1972,1
1427,mel carter,1,1965,1965,1
1428,melanie,2,1970,1972,3
1429,melissa etheridge,4,1994,1996,3
1430,melissa manchester,3,1975,1982,8
1431,mellow man ace,1,1990,1990,1
1432,men at work,4,1982,1983,2
1433,men without hats,1,1983,1983,1
1434,mercy,1,1969,1969,1
1435,meredith brooks,1,1997,1997,1
1436,merril bainbridge,2,1996,1997,2
1437,merrilee rush,1,1968,1968,1
1438,metallica,1,1996,1996,1
1439,method man featuring mary j blige,1,1995,1995,1
1440,metro station,1,2008,2008,1
1441,mfsb,1,1974,1974,1
1442,mia,1,2008,2008,1
1443,miami sound machine,3,1986,1986,1
1444,michael bolton,10,1990,1997,8
1445,michael buble,1,2010,2010,1
1446,michael damian,1,1989,1989,1
1447,michael franti  spearhead featuring cherine anderson,1,2009,2009,1
1448,michael jackson,22,1972,2002,31
1449,michael jackson and janet jackson,1,1995,1995,1
1450,michael jackson and justin timberlake,1,2014,2014,1
1451,michael jackson and paul mccartney,1,1983,1983,1
1452,michael jackson with siedah garrett,1,1987,1987,1
1453,michael johnson,1,1978,1978,1
1454,michael martin murphey,1,1975,1975,1
1455,michael mcdonald,2,1982,1986,5
1456,michael murphey,1,1982,1982,1
1457,michael sembello,1,1983,1983,1
1458,michael w smith,1,1991,1991,1
1459,michelle,1,1990,1990,1
1460,michelle branch,2,2002,2003,2
1461,mickey gilley,1,1980,1980,1
1462,miguel,3,2011,2013,3
1463,mike  the mechanics,3,1986,1989,4
1464,mike jones,1,2005,2005,1
1465,mike oldfield,1,1974,1974,1
1466,mike posner,2,2010,2011,2
1467,mike post,1,1975,1975,1
1468,mike reno and ann wilson,1,1984,1984,1
1469,mike will madeit featuring miley cyrus wiz khalifa and juicy j,1,2014,2014,1
1470,miley cyrus,9,2008,2014,7
1471,milli vanilli,6,1989,1990,2
1472,mims,1,2007,2007,1
1473,minnie riperton,1,1975,1975,1
1474,mint condition,1,1992,1992,1
1475,miranda lambert,2,2010,2013,4
1476,miranda lambert and carrie underwood,1,2014,2014,1
1477,missy elliott,3,2001,2003,3
1478,missy elliott featuring ciara and fatman scoop,1,2005,2005,1
1479,missy elliott featuring da brat,1,1998,1998,1
1480,missy elliott featuring ludacris,2,2001,2003,3
1481,missy elliott featuring nas eve and qtip,1,2000,2000,1
1482,mitch ryder  the detroit wheels,1,1966,1966,1
1483,mkto,1,2014,2014,1
1484,mo thugs,1,1999,1999,1
1485,moby featuring gwen stefani,1,2001,2001,1
1486,mocedades,1,1974,1974,1
1487,mokenstef,1,1995,1995,1
1488,monica,8,1995,2004,10
1489,monifah,1,1998,1998,1
1490,montell jordan,3,1995,2000,6
1491,montell jordan featuring master p and silkk the shocker,1,1998,1998,1
1492,moody blues,1,1986,1986,1
1493,morris albert,1,1975,1975,1
1494,motherlode,1,1969,1969,1
1495,mountain,1,1970,1970,1
1496,mouth  macneal,1,1972,1972,1
1497,moving pictures,1,1983,1983,1
1498,mr big,2,1992,1992,1
1499,mr cheeks,1,2002,2002,1
1500,mr mister,2,1986,1986,1
1501,mr president,1,1997,1997,1
1502,mr probz,1,2015,2015,1
1503,mumford  sons,1,2013,2013,1
1504,mungo jerry,1,1970,1970,1
1505,murray head,1,1985,1985,1
1506,murray head  the trindad singers,1,1971,1971,1
1507,musical youth,1,1983,1983,1
1508,musiq soulchild,2,2001,2002,2
1509,my chemical romance,1,2007,2007,1
1510,mystikal,1,2000,2000,1
1511,mystikal featuring nivea,1,2001,2001,1
1512,n ii u,1,1995,1995,1
1513,n sync,6,1998,2002,5
1514,n sync and gloria estefan,1,1999,1999,1
1515,n sync featuring nelly,1,2002,2002,1
1516,n2deep,1,1992,1992,1
1517,naked eyes,2,1983,1983,1
1518,nancy sinatra,1,1966,1966,1
1519,nas,1,2003,2003,1
1520,nas and bravehearts,1,2001,2001,1
1521,natalie,1,2005,2005,1
1522,natalie cole,4,1977,1989,13
1523,natalie la rose featuring jeremih,1,2015,2015,1
1524,natalie merchant,3,1995,1996,2
1525,natasha bedingfield,3,2005,2008,4
1526,natasha bedingfield featuring sean kingston,1,2008,2008,1
1527,natural selection,1,1991,1991,1
1528,naughty boy featuring sam smith,1,2014,2014,1
1529,naughty by nature,3,1991,1995,5
1530,naughty by nature featuring zhane,1,1999,1999,1
1531,nazareth,1,1976,1976,1
1532,neil  dara sedaka,1,1980,1980,1
1533,neil diamond,12,1966,1982,17
1534,neil diamond  barbra streisand,1,1979,1979,1
1535,neil sedaka,2,1975,1976,2
1536,neil sedaka  elton john,1,1975,1975,1
1537,neil young,1,1972,1972,1
1538,nelly,5,2000,2011,12
1539,nelly featuring city spud,1,2001,2001,1
1540,nelly featuring jaheim,1,2004,2004,1
1541,nelly featuring kelly rowland,1,2002,2002,1
1542,nelly featuring st lunatics,1,2003,2003,1
1543,nelly featuring tim mcgraw,2,2004,2005,2
1544,nelly furtado,4,2001,2007,7
1545,nelly furtado featuring timbaland,1,2006,2006,1
1546,nelly p diddy and murphy lee,1,2003,2003,1
1547,nelly paul wall and ali  gipp,1,2006,2006,1
1548,nelson,2,1990,1991,2
1549,nena,1,1984,1984,1
1550,neneh cherry,1,1989,1989,1
1551,neon trees,3,2010,2012,3
1552,new boyz featuring ray j,1,2010,2010,1
1553,new boyz featuring the cataracs and dev,1,2011,2011,1
1554,new colony six,1,1969,1969,1
1555,new edition,4,1985,1997,13
1556,new kids on the block,6,1989,1990,2
1557,new vaudeville band,1,1966,1966,1
1558,new york city,1,1973,1973,1
1559,next,5,1997,2000,4
1560,neyo,10,2006,2013,8
1561,neyo featuring juicy j,1,2015,2015,1
1562,nick cannon featuring r kelly,1,2004,2004,1
1563,nick gilder,1,1978,1978,1
1564,nick jonas,2,2015,2015,1
1565,nick lachey,1,2006,2006,1
1566,nickelback,11,2002,2009,8
1567,nicki french,1,1995,1995,1
1568,nicki minaj,5,2010,2014,5
1569,nicki minaj featuring drake,1,2011,2011,1
1570,nicki minaj featuring drake and lil wayne,1,2015,2015,1
1571,nicki minaj featuring drake lil wayne and chris brown,1,2015,2015,1
1572,nicky jam and enrique iglesias,1,2015,2015,1
1573,nico  vinz,1,2014,2014,1
1574,nicole featuring missy elliott and mocha,1,1998,1998,1
1575,nicolette larson,1,1979,1979,1
1576,nigel olsson,1,1979,1979,1
1577,night ranger,3,1984,1985,2
1578,nina sky,1,2004,2004,1
1579,nine days,1,2000,2000,1
1580,nirvana,1,1992,1992,1
1581,nitty gritty dirt band,1,1971,1971,1
1582,nivea featuring jagged edge,1,2003,2003,1
1583,no doubt,3,1996,2004,9
1584,no doubt featuring bounty killer,1,2002,2002,1
1585,no doubt featuring lady saw,2,2002,2003,2
1586,no mercy,2,1996,1997,2
1587,norah jones,1,2003,2003,1
1588,nore,1,2002,2002,1
1589,norman greenbaum,1,1970,1970,1
1590,nu flavor,1,1998,1998,1
1591,nu shooz,1,1986,1986,1
1592,o c smith,1,1968,1968,1
1593,oasis,1,1996,1996,1
1594,ocean,1,1971,1971,1
1595,odyssey,1,1978,1978,1
1596,of monsters and men,1,2013,2013,1
1597,ohio express,1,1968,1968,1
1598,ohio players,4,1973,1976,4
1599,oleta adams,1,1991,1991,1
1600,oliver,2,1969,1969,1
1601,olivia newtonjohn,12,1971,1984,14
1602,olivia newtonjohn  cliff richard,1,1981,1981,1
1603,ollie  jerry,1,1984,1984,1
1604,olly murs featuring flo rida,1,2013,2013,1
1605,omarion,1,2005,2005,1
1606,omarion featuring chris brown and jhene aiko,1,2015,2015,1
1607,omarion featuring timbaland,1,2007,2007,1
1608,omi,1,2015,2015,1
1609,one direction,5,2012,2015,4
1610,onerepublic,7,2008,2014,7
1611,onyx,1,1993,1993,1
1612,orchestral manoeuvres in the dark,1,1986,1986,1
1613,orianthi,1,2010,2010,1
1614,original cast of godspell,1,1972,1972,1
1615,orleans,2,1975,1976,2
1616,ot genasis,1,2015,2015,1
1617,otis redding,1,1968,1968,1
1618,otown,1,2001,2001,1
1619,outkast,5,1996,2004,9
1620,outkast featuring killer mike,1,2002,2002,1
1621,outkast featuring sleepy brown,1,2004,2004,1
1622,owl city,2,2009,2010,2
1623,owl city and carly rae jepsen,1,2012,2012,1
1624,ozark mountain daredevils,1,1975,1975,1
1625,p diddy featuring ginuwine loon and mario winans,1,2002,2002,1
1626,p diddy featuring usher and loon,1,2002,2002,1
1627,pablo cruise,3,1977,1981,5
1628,pacific gas  electric,1,1970,1970,1
1629,panic at the disco,1,2006,2006,1
1630,papa roach,1,2005,2005,1
1631,paper lace,1,1974,1974,1
1632,paperboy,1,1993,1993,1
1633,paramore,3,2010,2014,5
1634,parliament,2,1976,1978,3
1635,passenger,2,2013,2014,2
1636,pat benatar,5,1980,1985,6
1637,patrick hernandez,1,1979,1979,1
1638,patrick swayze featuring wendy fraser,1,1988,1988,1
1639,patti austin and james ingram,1,1983,1983,1
1640,patti labelle and michael mcdonald,1,1986,1986,1
1641,patti page,1,1965,1965,1
1642,patti smith group,1,1978,1978,1
1643,patty duke,1,1965,1965,1
1644,patty smyth,1,1992,1992,1
1645,paul  linda mccartney,1,1971,1971,1
1646,paul anka,3,1974,1976,3
1647,paul anka  odia coates,1,1975,1975,1
1648,paul carrack,1,1988,1988,1
1649,paul davis,3,1978,1982,5
1650,paul mauriat,1,1968,1968,1
1651,paul mccartney,5,1971,1986,16
1652,paul mccartney  wings,3,1973,1975,3
1653,paul mccartney and michael jackson,1,1984,1984,1
1654,paul mccartney and stevie wonder,1,1982,1982,1
1655,paul mccartney and wings,3,1974,1974,1
1656,paul revere  the raiders,5,1966,1971,6
1657,paul simon,5,1972,1978,7
1658,paul stookey,1,1971,1971,1
1659,paul young,2,1985,1990,6
1660,paula abdul,7,1989,1992,4
1661,paula abdul and the wild pair,1,1990,1990,1
1662,paula cole,2,1997,1998,2
1663,paula deanda featuring the dey,1,2007,2007,1
1664,peabo bryson,1,1984,1984,1
1665,peabo bryson and regina belle,1,1993,1993,1
1666,peabo bryson and roberta flack,1,1983,1983,1
1667,peaches  herb,4,1967,1980,14
1668,pearl jam,2,1996,1999,4
1669,pebbles,3,1988,1990,3
1670,people,1,1968,1968,1
1671,percy sledge,2,1966,1968,3
1672,perry como,1,1971,1971,1
1673,pet shop boys,2,1986,1988,3
1674,pet shop boys with dusty springfield,1,1988,1988,1
1675,pete townshend,1,1980,1980,1
1676,peter and gordon,4,1965,1966,2
1677,peter brown,1,1978,1978,1
1678,peter cetera,2,1986,1988,3
1679,peter cetera and amy grant,1,1987,1987,1
1680,peter frampton,3,1976,1977,2
1681,peter gabriel,2,1986,1987,2
1682,peter mccann,1,1977,1977,1
1683,peter paul and mary,1,1967,1967,1
1684,peter schilling,1,1984,1984,1
1685,petey pablo,1,2004,2004,1
1686,petula clark,5,1965,1967,3
1687,pharrell featuring jayz,1,2003,2003,1
1688,pharrell williams,1,2014,2014,1
1689,phil collins,13,1983,1994,12
1690,phil collins and marilyn martin,1,1985,1985,1
1691,philip bailey and phil collins,1,1985,1985,1
1692,phillip phillips,3,2012,2013,2
1693,phoebe snow,1,1975,1975,1
1694,pilot,1,1975,1975,1
1695,pink,17,2000,2013,14
1696,pink featuring nate ruess,1,2013,2013,1
1697,pink floyd,2,1973,1980,8
1698,pitbull,3,2009,2012,4
1699,pitbull and neyo,1,2015,2015,1
1700,pitbull featuring chris brown,1,2012,2012,1
1701,pitbull featuring christina aguilera,1,2013,2013,1
1702,pitbull featuring kesha,1,2014,2014,1
1703,pitbull featuring neyo afrojack and nayer,1,2011,2011,1
1704,pitbull featuring tpain,1,2011,2011,1
1705,plain white ts,1,2007,2007,1
1706,planet soul,1,1996,1996,1
1707,player,2,1978,1978,1
1708,plies featuring akon,1,2008,2008,1
1709,plies featuring neyo,1,2008,2008,1
1710,plies featuring tpain,1,2007,2007,1
1711,pm dawn,4,1992,1993,2
1712,pointer sisters,2,1984,1984,1
1713,poison,4,1988,1991,4
1714,portrait,1,1993,1993,1
1715,positive k,1,1993,1993,1
1716,power station,1,1985,1985,1
1717,pras michel featuring ol dirty bastard and m'ya,1,1998,1998,1
1718,pretty poison,1,1988,1988,1
1719,pretty ricky,3,2005,2007,3
1720,prince,9,1980,1994,15
1721,prince and the new power generation,3,1991,1993,3
1722,prince and the revolution,3,1984,1986,3
1723,procol harum,1,1967,1967,1
1724,pseudo echo,1,1987,1987,1
1725,psy,2,2012,2013,2
1726,public announcement,1,1998,1998,1
1727,puddle of mudd,2,2002,2003,2
1728,puff daddy featuring faith evans and 112,1,1997,1997,1
1729,puff daddy featuring jimmy page,1,1998,1998,1
1730,puff daddy featuring mase,1,1997,1997,1
1731,puff daddy featuring r kelly,1,1999,1999,1
1732,puff daddy featuring the notorious big and busta rhymes,1,1998,1998,1
1733,puff daddy featuring the notorious big and mase,1,1998,1998,1
1734,pure prairie league,1,1980,1980,1
1735,pussycat dolls,3,2006,2009,4
1736,pussycat dolls featuring snoop dogg,1,2006,2006,1
1737,pussycat dolls featuring william,1,2006,2006,1
1738,quad city djs,1,1996,1996,1
1739,quarterflash,2,1982,1983,2
1740,queen,8,1975,1992,18
1741,queen latifah,1,1994,1994,1
1742,"queensr""yche",1,1991,1991,1
1743,quiet riot,1,1984,1984,1
1744,quincy jones featuring james ingram,1,1982,1982,1
1745,r city featuring adam levine,1,2015,2015,1
1746,r dean taylor,1,1970,1970,1
1747,r kelly,13,1994,2004,11
1748,r kelly and celine dion,1,1999,1999,1
1749,r kelly featuring jayz,1,2001,2001,1
1750,r kelly featuring the isley brothers,1,1996,1996,1
1751,r kelly featuring ti and tpain,1,2007,2007,1
1752,r kelly featuring usher,1,2007,2007,1
1753,rachel platten,1,2015,2015,1
1754,rae sremmurd,1,2015,2015,1
1755,ralph tresvant,1,1991,1991,1
1756,ramsey lewis trio,1,1965,1965,1
1757,randy houser,1,2013,2013,1
1758,randy newman,1,1978,1978,1
1759,randy vanwarmer,1,1979,1979,1
1760,raphael saadiq,1,1995,1995,1
1761,rare earth,3,1970,1971,2
1762,rascal flatts,2,2006,2006,1
1763,raspberries,1,1972,1972,1
1764,ratt,1,1984,1984,1
1765,ray charles,2,1966,1967,2
1766,ray conniff singers,1,1966,1966,1
1767,ray goodman  brown,1,1980,1980,1
1768,ray j,2,1997,2006,10
1769,ray j featuring yung berg,1,2008,2008,1
1770,ray parker jr,3,1982,1984,3
1771,ray stevens,4,1969,1975,7
1772,raydio,3,1978,1981,4
1773,ready for the world,2,1985,1987,3
1774,real mccoy,5,1994,1997,4
1775,red hot chili peppers,5,1992,2007,16
1776,redbone,2,1972,1974,3
1777,rednex,1,1995,1995,1
1778,regina,1,1986,1986,1
1779,rem,3,1989,1991,3
1780,reo speedwagon,4,1981,1985,5
1781,restless heart,1,1993,1993,1
1782,rex smith,1,1979,1979,1
1783,rhythm heritage,1,1976,1976,1
1784,rich boy featuring polow da don,1,2007,2007,1
1785,rich gang featuring young thug and rich homie quan,1,2014,2014,1
1786,rich homie quan,1,2015,2015,1
1787,richard harris,1,1968,1968,1
1788,richard marx,10,1987,1994,8
1789,richie havens,1,1971,1971,1
1790,rick astley,4,1988,1991,4
1791,rick dees  his cast of idiots,1,1976,1976,1
1792,rick james,1,1978,1978,1
1793,rick ross featuring tpain,1,2008,2008,1
1794,rick springfield,5,1972,1984,13
1795,rickie lee jones,1,1979,1979,1
1796,ricky martin,2,1999,1999,1
1797,ricky martin and christina aguilera,1,2001,2001,1
1798,ricky nelson,1,1972,1972,1
1799,right said fred,1,1992,1992,1
1800,rihanna,19,2005,2015,11
1801,rihanna featuring calvin harris,2,2011,2012,2
1802,rihanna featuring chris brown,1,2012,2012,1
1803,rihanna featuring drake,1,2011,2011,1
1804,rihanna featuring jayz,1,2007,2007,1
1805,rihanna featuring jeezy,1,2010,2010,1
1806,rihanna featuring mikky ekko,1,2013,2013,1
1807,rihanna featuring neyo,1,2008,2008,1
1808,rihanna featuring sean paul,1,2007,2007,1
1809,rihanna kanye west and paul mccartney,1,2015,2015,1
1810,ringo starr,5,1971,1975,5
1811,rita coolidge,2,1977,1978,2
1812,rixton,1,2014,2014,1
1813,rob thomas,2,2005,2009,5
1814,robbie dupree,1,1980,1980,1
1815,robbie nevil,1,1987,1987,1
1816,robert john,2,1972,1979,8
1817,robert knight,1,1967,1967,1
1818,robert miles,1,1996,1996,1
1819,robert palmer,5,1978,1988,11
1820,robert parker,1,1966,1966,1
1821,roberta flack,4,1972,1982,11
1822,roberta flack  donny hathaway,2,1972,1978,7
1823,robin mcnamara,1,1970,1970,1
1824,robin s,1,1993,1993,1
1825,robin thicke,1,2007,2007,1
1826,robin thicke featuring ti and pharrell,1,2014,2014,1
1827,robin thicke featuring ti and pharrell williams,1,2013,2013,1
1828,robyn,2,1997,1998,2
1829,rocko featuring future and rick ross,1,2013,2013,1
1830,rockwell,1,1984,1984,1
1831,rocky burnette,1,1980,1980,1
1832,rod stewart,14,1971,1993,23
1833,rodney atkins,1,2011,2011,1
1834,roger miller,1,1965,1965,1
1835,roger troutman,1,1988,1988,1
1836,roger voudouris,1,1979,1979,1
1837,roger williams,1,1966,1966,1
1838,rome,1,1997,1997,1
1839,ronnie dyson,1,1970,1970,1
1840,ronnie milsap,4,1977,1982,6
1841,rosanne cash,1,1981,1981,1
1842,rose royce,2,1977,1977,1
1843,roxette,6,1989,1991,3
1844,roy head,1,1965,1965,1
1845,royal philharmonic orchestra,1,1982,1982,1
1846,ruben studdard,2,2003,2004,2
1847,ruff endz,1,2000,2000,1
1848,rufus,2,1975,1976,2
1849,rufus  chaka khan,1,1974,1974,1
1850,rundmc,1,1986,1986,1
1851,rupert holmes,2,1980,1980,1
1852,ryan cabrera,2,2004,2005,2
1853,rythm syndicate,1,1991,1991,1
1854,s club 7,1,2001,2001,1
1855,sade,2,1985,1986,2
1856,safire,1,1989,1989,1
1857,sailcat,1,1972,1972,1
1858,saltnpepa,2,1991,1994,4
1859,saltnpepa and en vogue,1,1994,1994,1
1860,sam  dave,1,1967,1967,1
1861,sam and dave,1,1968,1968,1
1862,sam cooke,1,1965,1965,1
1863,sam hunt,3,2014,2015,2
1864,sam smith,4,2014,2015,2
1865,sam the sham and the pharaohs,2,1965,1966,2
1866,samantha fox,3,1987,1989,3
1867,samantha mumba,1,2000,2000,1
1868,samantha sang,1,1978,1978,1
1869,sammi smith,1,1971,1971,1
1870,sammie,1,2000,2000,1
1871,sammy davis jr,2,1969,1972,4
1872,sammy hagar,1,1983,1983,1
1873,sammy johns,1,1975,1975,1
1874,sandy posey,2,1966,1967,2
1875,sanfordtownsend band,1,1977,1977,1
1876,santa esmeralda,1,1978,1978,1
1877,santana,2,1970,1981,12
1878,santana featuring alex band,2,2003,2004,2
1879,santana featuring chad kroeger,1,2008,2008,1
1880,santana featuring michelle branch,1,2003,2003,1
1881,santana featuring rob thomas,2,1999,2000,2
1882,santana featuring the product gb,1,2000,2000,1
1883,sara bareilles,4,2008,2014,7
1884,sarah mclachlan,3,1997,1999,3
1885,savage garden,4,1997,2000,4
1886,saving abel,1,2008,2008,1
1887,scandal,1,1984,1984,1
1888,scarface featuring 2pac and johnny p,1,1997,1997,1
1889,schoolboy q featuring bj the chicago kid,1,2014,2014,1
1890,scorpions,1,1991,1991,1
1891,scott mckenzie,1,1967,1967,1
1892,scritti politti,1,1986,1986,1
1893,seal,5,1991,1997,7
1894,seals and crofts,2,1973,1976,4
1895,sean kingston,3,2007,2009,3
1896,sean kingston and justin bieber,1,2010,2010,1
1897,sean paul,6,2002,2006,5
1898,sean paul featuring keyshia cole,1,2006,2006,1
1899,sean paul featuring sasha,1,2004,2004,1
1900,secondhand serenade,1,2008,2008,1
1901,seduction,1,1990,1990,1
1902,selena gomez,2,2013,2015,3
1903,selena gomez  the scene,3,2010,2012,3
1904,selena gomez featuring aap rocky,1,2015,2015,1
1905,sergio mendes,3,1968,1983,16
1906,shadows of knight,1,1966,1966,1
1907,shaggy,2,1995,2001,7
1908,shaggy featuring rikrok,1,2001,2001,1
1909,shai,3,1993,1993,1
1910,shakespears sister,1,1992,1992,1
1911,shakira,3,2002,2009,8
1912,shakira featuring alejandro sanz,1,2005,2005,1
1913,shakira featuring rihanna,1,2014,2014,1
1914,shakira featuring wyclef jean,1,2006,2006,1
1915,shalamar,3,1980,1984,5
1916,shania twain,5,1998,2003,6
1917,shanice,2,1992,1993,2
1918,shannon,1,1984,1984,1
1919,shaun cassidy,3,1977,1978,2
1920,shawn colvin,1,1997,1997,1
1921,shawn mendes,1,2015,2015,1
1922,shawn mullins,1,1999,1999,1
1923,sheena easton,7,1981,1989,9
1924,sheila e,2,1984,1986,3
1925,sheriff,1,1989,1989,1
1926,sheryl crow,8,1994,2004,11
1927,shinedown,1,2009,2009,1
1928,shirley bassey,1,1965,1965,1
1929,shirley ellis,1,1965,1965,1
1930,shocking blue,1,1970,1970,1
1931,shontelle,1,2010,2010,1
1932,shop boyz,1,2007,2007,1
1933,shorty long,1,1968,1968,1
1934,sia,3,2014,2015,2
1935,silento,1,2015,2015,1
1936,silk,2,1993,1999,7
1937,silver,1,1976,1976,1
1938,silver convention,2,1976,1976,1
1939,simon  garfunkel,7,1966,1970,5
1940,simple minds,2,1985,1986,2
1941,simply red,2,1986,1989,4
1942,sinead oconnor,1,1990,1990,1
1943,sir douglas quintet,1,1965,1965,1
1944,sir mixalot,1,1992,1992,1
1945,sisqo,2,2000,2000,1
1946,sister hazel,2,1997,1998,2
1947,sister janet mead,1,1974,1974,1
1948,sister sledge,2,1979,1979,1
1949,sixpence none the richer,1,1999,1999,1
1950,skeelo,1,1995,1995,1
1951,skid row,2,1989,1990,2
1952,skrillex and diplo featuring justin bieber,1,2015,2015,1
1953,skylark,1,1973,1973,1
1954,slim harpo,1,1966,1966,1
1955,sly  the family stone,6,1968,1973,6
1956,sly fox,1,1986,1986,1
1957,smash mouth,2,1999,2000,2
1958,smith,1,1969,1969,1
1959,smokey robinson,3,1980,1987,8
1960,snap,3,1990,1993,4
1961,snoop dogg,1,2008,2008,1
1962,snoop dogg and wiz khalifa featuring bruno mars,1,2012,2012,1
1963,snoop dogg featuring pharrell,2,2004,2005,2
1964,snoop dogg featuring pharrell and charlie wilson,1,2003,2003,1
1965,snoop dogg featuring r kelly,1,2007,2007,1
1966,snoop doggy dogg,2,1994,1994,1
1967,snow,1,1993,1993,1
1968,snow patrol,2,2006,2007,2
1969,soft cell,1,1982,1982,1
1970,somethin for the people featuring trina  tamara,2,1997,1998,2
1971,son by four,1,2000,2000,1
1972,sonique,1,2000,2000,1
1973,sonny  cher,4,1965,1972,8
1974,sonny bono,1,1965,1965,1
1975,sophie b hawkins,3,1992,1996,5
1976,soul asylum,2,1993,1995,3
1977,soul for real,2,1995,1995,1
1978,soul ii soul,1,1989,1989,1
1979,soul ii soul featuring caron wheeler,1,1990,1990,1
1980,souldecision featuring thrust,1,2000,2000,1
1981,soulja boy tell em,3,2007,2009,3
1982,soulja boy tell em featuring sammie,1,2009,2009,1
1983,sounds orchestral,1,1965,1965,1
1984,spandau ballet,1,1983,1983,1
1985,spice girls,5,1997,1998,2
1986,spin doctors,1,1993,1993,1
1987,spiral starecase,1,1969,1969,1
1988,ssgt barry sadler,1,1966,1966,1
1989,stacey q,1,1986,1986,1
1990,staind,1,2001,2001,1
1991,starbuck,1,1976,1976,1
1992,starland vocal band,1,1976,1976,1
1993,starpoint,1,1986,1986,1
1994,stars on 45,1,1981,1981,1
1995,starship,3,1985,1987,3
1996,status quo,1,1968,1968,1
1997,stealers wheel,1,1973,1973,1
1998,steely dan,6,1973,1981,9
1999,stephen bishop,2,1977,1983,7
2000,steppenwolf,2,1968,1968,1
2001,steve forbert,1,1980,1980,1
2002,steve holy,1,2002,2002,1
2003,steve miller band,5,1974,1982,9
2004,steve perry,1,1984,1984,1
2005,steve winwood,6,1981,1988,8
2006,stevie b,2,1991,1995,5
2007,stevie nicks,3,1982,1986,5
2008,stevie nicks  tom petty,1,1981,1981,1
2009,stevie nicks and don henley,1,1982,1982,1
2010,stevie wonder,22,1966,1986,21
2011,sting,6,1985,1993,9
2012,sting featuring cheb mami,1,2000,2000,1
2013,stories,1,1973,1973,1
2014,strawberry alarm clock,1,1967,1967,1
2015,stray cats,2,1983,1983,1
2016,styx,9,1975,1991,17
2017,subway featuring 702,1,1995,1995,1
2018,sugar ray,3,1999,2001,3
2019,sugarland,1,2010,2010,1
2020,sugarloaf,2,1970,1975,6
2021,sunshine anderson,1,2001,2001,1
2022,supertramp,3,1977,1980,4
2023,surface,2,1989,1991,3
2024,survivor,5,1982,1987,6
2025,suzanne vega,1,1987,1987,1
2026,suzi quatro  chris norman,1,1979,1979,1
2027,swedish house mafia featuring john martin,1,2013,2013,1
2028,sweet,4,1973,1978,6
2029,sweet inspirations,1,1968,1968,1
2030,sweet sensation,1,1990,1990,1
2031,swing out sister,1,1987,1987,1
2032,switchfoot,1,2004,2004,1
